0038.co.jp.axfr:@ "v=spf1 include:spf.mail-cp.com ~all"
0512.com.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
05366.com.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0542.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
055.vn.axfr:@ "v=spf1 a mx ~all"
0564.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
056.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
057.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
06239.com.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0623.com.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
06274.com.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0642.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
06452.com.ua.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
0725.ru.axfr:@ "v=spf1 ip4:136.243.11.15 a mx ~all"
07kbr.ru.axfr:@ "v=spf1 ip4:46.148.48.190 a mx ~all"
07.no.axfr:@ "v=spf1 mx ip4:195.159.151.138 ip4:104.40.229.247 ~all"
0800222222.com.axfr:@ "v=spf1 include:_spf.google.com ~all"
0lik.ru.axfr:@ "v=spf1 ip4:5.9.57.66 a mx ~all"
0pen.ir.axfr:@ "v=spf1 a mx ip4:188.165.121.245 ~all"
10000steps.org.au.axfr:beta "v=spf1 +a +mx +ip4:207.58.187.229 ~all"
10000steps.org.au.axfr:healthesteps "v=spf1 +a +mx +ip4:207.58.187.229 ~all"
10000steps.org.au.axfr:@ "v=spf1 +a +mx +ip4:207.58.187.229 include:spf.mandrillapp.com ~all"
10000w.co.kr.axfr:@ "v=spf1 ip4:121.125.73.46 ip4:121.125.73.53 ip4:218.237.67.243 ip4:121.125.73.55 ip4:121.125.73.58 ip4:121.125.73.19 ip4:121.125.73.44 ip4:218.237.67.254 ip4:121.125.73.62 ~all"
10000w.kr.axfr:@ "v=spf1 ip4:121.125.73.46 ip4:121.125.73.53 ip4:218.237.67.243 ip4:121.125.73.55 ip4:121.125.73.58 ip4:121.125.73.19 ip4:121.125.73.44 ip4:218.237.67.254 ip4:121.125.73.62 ~all"
1000bazi.com.axfr:@ "v=spf1 a mx ip4:5.160.219.50 ~all"
1000charge.com.axfr:@ "v=spf1 a mx ip4:158.58.185.215 ~all"
1000inf.ru.axfr:@ "v=spf1 +a +mx -all +a:vps2-1038495-11657.host4g.ru"
1000milesjourney.com.axfr:@ "v=spf1 a mx ip4:103.58.150.105 ~all"
1000news.ir.axfr:@ "v=spf1 a mx ip4:158.58.187.13 ~all"
1000onlinemoney.ru.axfr:@ "v=spf1 ip4:144.76.241.126 a mx ~all"
1000taxi.com.axfr:@ "v=spf1 redirect=_spf.mail.ru"
1000tep.com.axfr:@ "v=spf1 a mx ip4:192.154.99.42 ~all"
1000tipsit.com.axfr:@ "v=spf1 a mx ip4:27.254.41.175 ~all"
1000zagovorov.ru.axfr:@ "v=spf1 +a +mx +ip4:185.42.12.13 ?all"
1001daneshjo.ir.axfr:@ "v=spf1 a mx ip4:5.61.27.215 ~all"
1005.idv.hk.axfr:@ "v=spf1 a mx ip4:103.11.103.1 ~all"
100cv.com.axfr:@ "v=spf1 ip4:195.60.188.0/23 ip4:195.110.12.0/23 ip4:185.8.28.0/22 ip4:158.255.64.0/21 a mx include:_spf.google.com ~all"
100e.com.tw.axfr:edm "v=spf1 a mx/28 ~all"
100e.com.tw.axfr:@ "v=spf1 include:_spf.google.com ~all"
100k.su.axfr:@ "v=spf1 ip4:88.198.64.44 a mx ~all"
100kuskov.com.axfr:@ "v=spf1 ip4:5.39.45.197 a mx ~all"
100percentdesign.co.uk.axfr:@ "v=spf1 include:media-ten.com -all"
100-top.biz.axfr:@ "v=spf1 a mx ip4:89.248.172.171 ~all"
10-12-deals.tk.axfr:@ "v=spf1 a mx ip4:27.254.85.79 ip4:202.183.192.159 ~all"
101sitehosting.com.axfr:@ "v=spf1 a mx ip4:162.222.139.110 ~all"
101sovet.com.ua.axfr:@ "v=spf1 ip4:91.223.223.66 a mx ~all"
102detali.ru.axfr:m "v=spf1 a mx"
102detali.ru.axfr:@ "v=spf1 a mx"
108goal.net.axfr:@ "v=spf1 a mx ip4:198.27.69.51 ~all"
108lakorn.com.axfr:@ "v=spf1 a mx ip4:27.254.99.53 ~all"
108payagon.com.axfr:@ "v=spf1 a mx ip4:23.88.238.18 ~all"
10file.com.axfr:@ "v=spf1 +a +mx ip4:103.23.20.234/32 ip4:103.23.20.235/32 -all"
10minecraft.ru.axfr:@ "v=spf1 ip4:85.25.213.176 a mx ~all"
10news.com.axfr:@ "v=spf1 a:qbert.ibsys.com a:anubis.ibsys.com a:treets100.ibsys.com include:eblastengine.com include:spf.scripps.com include:spf.microsoftonline.com ip4:216.195.71.200 ip4:216.196.191.108 ~all"
10-s.biz.axfr:@ "v=spf1 a mx ~all"
10sexcam.ru.axfr:@ "v=spf1 ip4:185.4.65.191 a mx ~all"
10tl.net.axfr:@ "v=spf1 a mx"
10tr.net.axfr:@ "v=spf1 a mx"
110km.ru.axfr:@ "v=spf1 +mx ip4:5.178.83.138 +a:110km.ru include:gmail.com -all"
1118.me.axfr:@ "v=spf1 include:hotmail.com ~all"
117.ne.jp.axfr:gyosei "v=spf1 ip4:219.118.72.0/24 ~all"
117.ne.jp.axfr:iida "v=spf1 ip4:219.118.72.0/24 ~all"
117.ne.jp.axfr:mh1 "v=spf1 ip4:219.118.72.0/24 ~all"
117.ne.jp.axfr:okada "v=spf1 ip4:219.118.72.0/24 ~all"
117.ne.jp.axfr:vp "v=spf1 ip4:219.118.72.0/24 ~all"
117.ne.jp.axfr:@ "v=spf1 ip4:219.118.72.0/24 ~all"
117.ne.jp.axfr:yumex "v=spf1 ip4:219.118.72.0/24 ~all"
118mosafer.com.axfr:@ "v=spf1 a mx ip4:5.61.30.107 ~all"
118mosafer.ir.axfr:@ "v=spf1 a mx ip4:138.201.7.177 ~all"
1190.net.axfr:@ "v=spf1 a mx ptr ip4:122.255.76.72 mx:mail.1190.net -all"
11book.ru.axfr:@ "v=spf1 ip4:91.200.40.4 a mx ~all"
11moviefa.org.axfr:@ "v=spf1 a mx ip4:213.239.196.30 ~all"
121vt.com.axfr:@ "v=spf1 a mx ~all"
1234567.by.axfr:@ "v=spf1 redirect=_spf.yandex.ru"
123batdongsan.vn.axfr:@ "v=spf1 a mx ~all"
123boutchou.com.axfr:@ "v=spf1 ip4:91.121.85.13 ~all"
123.com.tw.axfr:@ "v=spf1 include:hotmail.com ~all"
123cruzeiros.com.br.axfr:news "v=spf1 a -all"
123cruzeiros.com.br.axfr:nl "v=spf1 include:spf-a.serveurs-jrcg.fr ~all"
123cuocsong.com.axfr:@ "v=spf1 a mx ip4:210.245.90.135 ~all"
123dang.com.axfr:@ "v=spf1 a mx ~all"
123doi.com.axfr:@ "v=spf1 include:mailgun.org ~all"
123gamehay.com.axfr:@ "v=spf1 a mx ~all"
123nhadatviet.com.axfr:@ "v=spf1 a mx ~all"
123nhadatviet.net.axfr:@ "v=spf1 a mx ~all"
123pccenter.nl.axfr:@ "v=spf1 a mx include:_spf.webchamp.nl ~all"
123vatgia.vn.axfr:@ "v=spf1 a mx ~all"
123zaidimai.lt.axfr:@ "v=spf1 a mx ip4:193.46.84.63 ?all"
12go.co.kr.axfr:@ "v=spf1 ip4:1.255.6.13 ip4:1.255.6.16 ~all"
12khodro.com.axfr:@ "v=spf1 a mx ip4:92.50.3.154 ~all"
139.vn.axfr:@ "v=spf1 a mx ~all"
13.cl.axfr:@ "v=spf1 mx mx:mail.13.cl mx:mail2.13.cl ip4:200.27.99.199 ip4:200.27.99.71 ip4:200.27.99.53 ip4:200.27.99.181 include:spf.masterbase.com include:spf.questionpro.com ~all"
14012.ir.axfr:@ "v=spf1 a mx ip4:5.61.30.29 ~all"
14-masoum.com.axfr:@ "v=spf1 a mx ip4:94.182.227.11 ~all"
14ymedio.com.axfr:@ "v=spf1 a ip4:130.117.93.180/32 ip4:130.117.93.190/32 ~all"
155cm.com.axfr:@ "v=spf1 +ip4:153.121.70.156 +ip6:2001:e42:102:1111:153:121:70:156 -all"
157.website.axfr:@ "v=spf1 +ip4:157.112.150.2 include:_spf.google.com ~all"
15a20.com.mx.axfr:@ "v=spf1 ip4:50.56.219.226 a mx ~all"
15a20.com.mx.axfr:@ "v=spf1 ip4:50.56.243.236 a mx ~all"
1616.ir.axfr:@ "v=spf1 a mx ip4:185.37.55.93 ~all"
163.ca.axfr:@ "v=spf1 mx ip4:204.74.210.236/29 include:_spf.google.com ~all"
16tons.ru.axfr:@ "v=spf1 mx a -all"
1777.ru.axfr:@ "v=spf1 ip4:89.253.231.8 include:_spf.yandex.net ~all"
18dsc.com.hk.axfr:@ "v=spf1 a mx ip4:103.11.101.78 ~all"
18lolitas.com.axfr:@ "v=spf1 a mx ip4:5.45.75.54 ~all"
18teencutie.com.axfr:@ "v=spf1 ip4:66.171.238.0/22 a mx include:mail.gigegeo.com ~all"
18yo.pics.axfr:@ "v=spf1 a mx ip4:173.243.125.36 ~all"
19188.com.axfr:@ "v=spf1 mx a:sd11m1.tongyong.net include:_spf.google.com ?all"
1919-chat.tv.axfr:@ "v=spf1 +ip4:61.193.164.223/28 +ip4:60.32.76.248/29 +ip4:60.32.73.248/29 ~all"
1939.ru.axfr:@ "v=spf1 ip4:46.38.48.20 a mx ~all"
1994hiphop.com.axfr:@ "v=spf1 ip4:94.242.240.124 a mx ~all"
19dey.com.axfr:@ "v=spf1 a mx ip4:185.4.28.232 ~all"
19rus.info.axfr:@ "v=spf1 ip4:91.221.70.39 a mx ~all"
1a1e.com.axfr:@ "v=spf1 a mx ip4:93.89.18.10 ~all"
1a1e.net.axfr:@ "v=spf1 a mx ip4:37.247.114.40 ~all"
1ab.ru.axfr:dev "v=spf1 ip4:89.253.229.179 a:dev.1abd.ru -all"
1ab.ru.axfr:@ "v=spf1 ip4:95.131.91.70 a:mail.1ab.ru +mx -all"
1ala.ir.axfr:@ "v=spf1 a mx ip4:63.141.253.242 ~all"
1bbc.co.axfr:@ "v=spf1 ip4:78.140.185.191 a mx ~all"
1buckbid.com.axfr:@ "v=spf1 ip4:96.30.23.152 ip4:173.199.181.20 a mx include:websitewelcome.com ~all"
1buckonly.com.axfr:@ "v=spf1 ip4:96.30.23.152 a mx include:websitewelcome.com ~all"
1click.ru.axfr:@ "v=spf1 include:spf-es-ru.com -all"
1coffee.ru.axfr:@ "v=spf1 ip4:178.218.216.130 a mx ~all"
1deelert.com.axfr:@ "v=spf1 a mx ip4:122.155.5.177 ~all"
1dgkb-tver.ru.axfr:@ "v=spf1 a mx ip4:176.9.118.226 ~all"
1dv.ru.axfr:mail "v=spf1 a mx mx:bashel.ru -all"
1dv.ru.axfr:@ "v=spf1 a mx mx:bashel.ru -all"
1dz1.com.axfr:@ "v=spf1 a ~all"
1forsat.com.axfr:@ "v=spf1 a mx ip4:5.160.219.50 ~all"
1ginzaclinic.com.axfr:@ "v=spf1 +a +a:mxjp1.nospamcloud.com +a:mxjp2.nospamcloud.com +ip4:103.241.129.228 +mx ~all"
1grun.info.axfr:@ "v=spf1 a mx ip4:193.105.200.0/24 ip4:195.234.99.0/24 ~all"
1host.name.axfr:@ "v=spf1 a mx ip4:94.242.203.98 ~all"
1hotelrez.com.axfr:@ "v=spf1 mx ip4:162.242.162.135 ip4:162.209.60.245 ip6:2001:4801:7823:76:456e:26f1:ff11:3438 ~all"
1ii1.ru.axfr:@ "v=spf1 a mx ip4:204.45.251.75 ~all"
1jour1vin.com.axfr:@ "v=spf1 a mx ip4:5.172.177.128 ip4:5.172.177.237 ~all"
1kara.jp.axfr:@ "v=spf1 +ip4:157.112.153.74 +ip4:202.248.207.192/27 include:spf-bma.mpme.jp ~all"
1kinobig.ru.axfr:@ "v=spf1 ip4:5.45.72.4 a mx ~all"
1matchmaking.com.axfr:@ "v=spf1 a mx ip4:94.242.203.98 ~all"
1maxhosting.com.axfr:@ "v=spf1 a mx ip4:103.6.244.56 ~all"
1md.ru.axfr:@ "v=spf1 ip4:178.218.216.210 a mx ~all"
1mix.co.uk.axfr:@ "v=spf1 a mx a:mailforwards.extendcp.co.uk ~all"
1mnenie.ru.axfr:@ "v=spf1 ip4:46.17.47.177 a mx ~all"
1-moda.com.axfr:@ "v=spf1 ip4:91.217.254.7 a mx ~all"
1netbd.com.axfr:@ "v=spf1 a mx a:1netbd.com ip4:178.32.56.32 ~all"
1refer.com.axfr:@ "v=spf1 +a +mx +ip4:67.227.163.33 ?all"
1reshenie.ru.axfr:@ "v=spf1 ip4:213.219.240.0/22 +ip4:213.248.45.0/24 +ip4:213.219.245.0/24 +ip4:91.205.84.0/24 ~all"
1shot1kill.pl.axfr:@ "v=spf1 mx ip4:91.224.116.27 -all"
1spbgmu.ru.axfr:@ "v=spf1 +mx -all"
1sportnews.com.axfr:@ "v=spf1 a mx ip4:5.196.143.18 ~all"
1st-mail.jp.axfr:error "v=spf1 ip4:58.80.109.19/32 ip4:58.80.109.20/32 ip4:45.116.224.0/24 ip4:58.80.109.21/32 include:nocla.net include:delsp.com include:spf.cloud-b.net include:spf-sat.burn-oxygen.com ~all "
1st-mail.jp.axfr:@ "v=spf1 ip4:58.80.109.19/32 ip4:58.80.109.20/32 ip4:45.116.224.0/24 ip4:58.80.109.21/32 include:nocla.net include:delsp.com include:spf.cloud-b.net include:spf-sat.burn-oxygen.com ~all "
1st-original.ru.axfr:@ "v=spf1" "redirect=_spf.yandex.net"
1stroitelny.kz.axfr:@ "v=spf1 ip4:195.210.47.241 a mx ~all"
1supakwong.com.axfr:@ "v=spf1 a mx ip4:103.27.200.83 ~all"
1teb.com.axfr:@ "v=spf1 a mx ip4:185.8.172.13 ~all"
1tl.org.tr.axfr:@ "v=spf1 a mx ip4:77.223.131.88 ~all"
1tmn.ru.axfr:@ "v=spf1 ip4:185.4.72.221 a mx ~all"
1torrents.net.axfr:@ "v=spf1 ip4:217.12.201.7 a mx ~all"
1tpe.com.axfr:@ "v=spf1 mx mx:mail.1tpe.com a:ns364899.ovh.net ip4:178.32.100.41 include:aweber.com ~all"
1tpe.net.axfr:@ "v=spf1 mx a:ns364899.ovh.net ip4:178.32.100.41 mx:mail.1tpe.net -all"
1ty.vn.axfr:1ty.vn "v=spf1 include:gmail.com ~all"
1ua.com.ua.axfr:@ "v=spf1 ip4:91.235.129.10 a mx ~all"
1-veda.info.axfr:@ "v=spf1 a mx ip4:185.14.28.31 ?all"
1y1.ir.axfr:@ "v=spf1 a mx ip4:188.136.231.5 ~all"
2007kapos.hu.axfr:@ "v=spf1 mx a include:spf.mailengine.hu -all"
200stran.ru.axfr:@ "v=spf1 ip4:185.12.94.40 a mx ~all"
2016rik.com.ua.axfr:@ "v=spf1 a mx ip4:5.9.113.234 ~all"
2060.jp.axfr:@ "v=spf1 a mx ip4:119.245.138.159 ~all"
20charge.ir.axfr:@ "v=spf1 a mx ip4:87.98.170.67 ~all"
20host.ir.axfr:@ "v=spf1 a mx ip4:136.243.169.75 ~all"
20serialbaran.org.axfr:@ "v=spf1 a mx ip4:198.50.210.61 ~all"
20tag.ir.axfr:@ "v=spf1 a mx ip4:5.39.22.228 ~all"
21099.ru.axfr:@ "v=spf1 a mx ip4:82.146.47.142 ~all"
21ctl.com.axfr:gate "v=spf1 a -all"
21ctl.com.axfr:pop3 "v=spf1 a -all"
21ctl.com.axfr:smtp2 "v=spf1 a -all"
21ctl.com.axfr:@ "v=spf1 ip4:80.248.0.0/20 mx ?all"
21drops.com.axfr:@ "v=spf1 include:_spf.bigcommerce.com mx ip4:216.134.213.64/28 ip4:66.129.85.128/27 ip4:66.129.95.112/28 ip4:216.26.142.96/28 ip4:66.129.85.0/27 ip4:96.45.126.128/27 include:emailsrvr.com ~all"
21esr.az.axfr:@ "v=spf1 a mx ip4:5.9.80.136 ~all"
21millionaire.com.axfr:@ "v=spf1 a mx ip4:27.254.99.36 ~all"
21serialbaran.org.axfr:@ "v=spf1 a mx ip4:198.50.210.61 ~all"
21zew.ru.axfr:@ "v=spf1 a mx ip4:185.43.220.11 ~all"
222rehber.com.axfr:@ "v=spf1 a mx ip4:93.89.16.140 ~all"
23-f.ru.axfr:@ "v=spf1 ip4:94.250.250.1 a mx ~all"
247accs.com.axfr:@ "v=spf1 a mx ip4:46.105.102.15 ~all"
247cashsystem.com.axfr:@ "v=spf1 a mx ip4:107.170.61.223 ~all"
24-7intouch.com.axfr:@ "v=spf1 ip4:207.195.124.128/26 include:_spf.google.com include:mktomail.com ~all"
24-7intouch.com.axfr:@ "v=spf1 ip4:207.195.124.128/26 include:_spf.google.com include:mktomail.com include:aspmx.pardot.com ~all"
24auto.biz.axfr:@ "v=spf1 ip4:203.183.142.128/25 ip4:202.130.45.0/25 ~all"
24auto.ru.axfr:@ "v=spf1 a:remus.metadesign.ru include:_spf.google.com ~all"
24a-z.pl.axfr:@ "v=spf1 a mx ip4:188.40.35.216 ~all"
24broker.ro.axfr:@ "v=spf1 include:mail.zendesk.com ?all"
24dom.ru.axfr:@ "v=spf1 +a include:_spf-ipv4.yandex.ru -all"
24framework.com.axfr:@ "v=spf1 a mx ip4:27.254.41.195 ~all"
24framework.com.axfr:@ "v=spf1 a mx ip4:27.254.41.195 include:_spf.google.com ~all"
24freelance.net.axfr:@ "v=spf1 ip4:151.80.72.247 a mx ~all"
24krafts.com.axfr:24krafts.in "v=spf1 +a +mx +ip4:199.201.110.58 ~all"
24krafts.com.axfr:buyforless "v=spf1 +a +mx +ip4:199.201.110.58 ~all"
24krafts.com.axfr:sanetech12 "v=spf1 +a +mx +ip4:199.201.110.58 ~all"
24krafts.com.axfr:sanetech "v=spf1 +a +mx +ip4:199.201.110.58 +ip4:103.19.89.55 +ip4:103.19.89.57 ~all"
24krafts.com.axfr:@ "v=spf1 +a +mx +ip4:199.201.110.58 +ip4:103.19.89.55 +ip4:103.19.89.57 ~all"
24k.ua.axfr:@ "v=spf1 a mx ip4:5.9.151.41 ip4:5.9.151.42 ip4:178.63.61.249 ~all"
24news.com.ua.axfr:@ "v=spf1 a mx ip4:78.154.174.132 ~all"
24-porno.com.axfr:@ "v=spf1 a mx ip4:5.79.87.24 ~all"
24radio.gr.axfr:@ "v=spf1 +a +mx +ip4:95.154.242.114 +ip4:95.154.242.115 ?all"
24radio.gr.axfr:www2 "v=spf1 +a +mx +ip4:95.154.242.114 ?all"
24shells.net.axfr:@ "v=spf1 +a +mx +ip4:108.175.175.178 +ip4:67.220.176.18 +ipv4:216.55.102.80 ?all"
24sidelineth.com.axfr:@ "v=spf1 a mx ip4:192.154.97.221 ~all"
24tin.net.axfr:@ "v=spf1 a mx ~all"
24tv.pro.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
24veg.ru.axfr:@ "v=spf1 +a +mx -all +a:dds2-1038398-11611.host4g.ru"
24x7online.in.axfr:reseller "v=spf1 +a +mx +ip4:115.124.104.11 +ip4:115.124.121.36 ~all"
24x7online.in.axfr:@ "v=spf1 +a +mx +ip4:115.124.104.11 +ip4:115.124.121.36 ~all"
24x7shoponline.com.axfr:3g "v=spf1 +a +mx +ip4:67.23.226.61 ~all"
24x7shoponline.com.axfr:datacard "v=spf1 +a +mx +ip4:67.23.226.61 ~all"
24x7shoponline.com.axfr:sale "v=spf1 +a +mx +ip4:67.23.226.61 ~all"
24x7shoponline.com.axfr:v3g "v=spf1 +a +mx +ip4:67.23.226.61 ~all"
24x7shoponline.com.axfr:@ "v=spf1 +a +mx +ip4:67.23.226.61 ~all"
25915.ir.axfr:@ "v=spf1 a mx ip4:109.236.91.2 ~all"
2-5-cheloveka.com.axfr:@ "v=spf1 a mx ip4:195.138.242.89 ~all"
2676270.ru.axfr:@ "v=spf1 ip4:144.76.4.207 a mx ~all"
26sep.net.axfr:photos "v=spf1 +a +mx +ip4:67.227.205.145 ?all"
26sep.net.axfr:@ "v=spf1 +a +mx +ip4:67.227.205.145 ?all"
27kb.ru.axfr:@ "v=spf1 +a +mx -all"
27r.ru.axfr:@ "v=spf1 a mx -all"
288group.com.axfr:@ "v=spf1 a mx ptr a:mailsvr2.288group.com a:webmail01.288group.com a:webmail.288group.com ip4:213.106.149.134 ip4:77.245.72.99 ip4:77.245.72.110 ip4:77.245.72.113 ip4:77.245.72.125 ip4:80.84.63.108 -all"
2banh.vn.axfr:@ "v=spf1 include:hotmail.com a mx ~all"
2bor.ir.axfr:@ "v=spf1 a mx ip4:46.165.231.43 ~all"
2brightsparks.com.axfr:@ "v=spf1 include:outlook.com include:smtp1.uservoice.com ~all"
2cams.org.axfr:@ "v=spf1 a mx ip4:148.251.120.19 ~all"
2crim.com.axfr:@ "v=spf1 ip4:91.200.40.0/24 a mx ~all"
2cute2nice.com.axfr:@ "v=spf1 a mx ip4:80.82.64.110 ~all"
2dosug.ru.axfr:@ "v=spf1 ip4:37.1.203.106 a mx ~all"
2exim.com.axfr:@ "v=spf1 a mx ip4:185.2.12.125 ~all"
2exim.com.axfr:@ "v=spf1 mx a ptr a:maralhost.me a:maralhost.marketing ip4:136.243.4.132 ~all"
2goroda.ru.axfr:@ "v=spf1 ip4:89.108.71.199 a mx ~all"
2happy.gr.axfr:@ "v=spf1 include:_spf.generation-y.net ~all"
2-host.de.axfr:@ "v=spf1 include:exchangebox.net include:hex2013.com a mx ~all"
2khati.com.axfr:@ "v=spf1 a mx ip4:95.211.108.67 ~all"
2lazy2boot.co.uk.axfr:@ "v=spf1 a mx a:2lazy2boot.co.uk ip4:178.63.62.83 ip4:178.63.62.106 ?all"
2levels.ru.axfr:@ "v=spf1 a mx ip4:94.242.203.98 ~all"
2madames.com.axfr:@ "v=spf1 a mx ip4:27.254.62.238 ip4:202.183.192.159 ip4:27.254.67.4 ~all"
2mocyc.com.axfr:@ "v=spf1 a mx ip4:27.254.67.70 ip4:27.254.96.158 ip4:202.183.192.159 -all"
2msk.ru.axfr:@ "v=spf1 ip4:188.40.42.68 a mx ~all"
2muaban.com.axfr:@ "v=spf1 a mx ~all"
2mx.org.axfr:@ "v=spf1 ip4:92.63.102.228 a mx ~all"
2qwp.ru.axfr:@ "v=spf1 ip4:78.46.104.7 a mx ~all"
2rockstarsapproved.com.axfr:@ "v=spf1 +a +mx +ip4:69.167.136.70 +ip4:142.4.4.220 ~all"
2saigon.vn.axfr:@ "v=spf1 a mx ~all"
2s-vitrin.ir.axfr:@ "v=spf1 a mx ip4:136.243.122.47 ~all"
2sweb.ir.axfr:@ "v=spf1 a mx ip4:136.243.122.47 ~all"
2tag.nl.axfr:@ "v=spf1 a mx ip4:91.192.37.23 ~all"
2talk.co.nz.axfr:@ "v=spf1 ip4:27.111.12.0/22 a mx ~all"
2ui.ir.axfr:@ "v=spf1 a mx ip4:79.175.176.31 ~all"
2vitrin.com.axfr:@ "v=spf1 a mx ip4:79.175.174.215 ~all"
2viv.ir.axfr:@ "v=spf1 a mx ip4:46.165.231.43 ~all"
2x2.su.axfr:@ "v=spf1 mx:mail.2x2.su ip4:195.208.34.41 ip4:176.123.192.84 ip4:46.16.9.140 ~all"
2x-proru.ru.axfr:@ "v=spf1 a mx ip4:5.9.19.70 ~all"
2yxa.mobi.axfr:@ "v=spf1 ip4:93.186.192.92 a mx ~all"
2yxa.ru.axfr:@ "v=spf1 ip4:93.186.192.92 a mx ~all"
301030.ir.axfr:@ "v=spf1 a mx ip4:31.25.89.208 ~all"
308ar.com.axfr:@ "v=spf1 a mx ip4:50.28.33.151 ?all"
310imo.com.axfr:@ "v=spf1 ip4:183.90.228.19 include:1lejend.com ~all"
310imo.com.axfr:@ "v=spf1 ip4:183.90.228.19 +mx include:spf.rr11.jp ~all"
316steel.com.axfr:@ "v=spf1 ip4:67.43.15.77 +a +mx +ip4:64.131.66.35 ?all"
32227001.ir.axfr:@ "v=spf1 a mx ip4:188.136.162.246 ~all"
34habergazetesi.com.axfr:@ "v=spf1 a mx ip4:188.125.162.114 ~all"
35s.co.jp.axfr:@ "v=spf1 +a include:mwp-spf.securesites.net ~all"
35shoutai.jp.axfr:mail "v=spf1 ip4:203.141.151.8/27 ip4:59.106.111.6/28 ip4:59.106.52.212/28 ip4:59.106.84.128/26 -all"
35shoutai.jp.axfr:@ "v=spf1 ip4:203.141.151.8/27 ip4:59.106.111.6/28 ip4:59.106.52.212/28 ip4:59.106.84.128/26 -all"
35teknikservis.com.axfr:@ "v=spf1 a mx ip4:213.238.171.8 ~all"
360imprimir.pt.axfr:@ "v=spf1 redirect=operations.ptempresas.pt"
3654.ru.axfr:@ "v=spf1 redirect=_spf_yandex.europeserverhost.com"
365days.ru.axfr:@ "v=spf1 a mx ~all"
365psd.ru.axfr:@ "v=spf1 ip4:188.72.233.234 a mx ~all"
39auto.biz.axfr:@ "v=spf1 ip4:203.183.142.128/25 ip4:202.130.45.0/25 ~all"
3bs.jp.axfr:@ "v=spf1 +a include:mwp-spf.securesites.net ~all"
3-chetverti.ru.axfr:@ "v=spf1 ip4:185.12.92.220 a mx ~all"
3d2f.com.axfr:@ "v=spf1 ip4:89.208.146.209 ip4:89.208.146.210/31 ip4:89.208.146.212/30 ip4:89.208.146.216/29 ip4:89.208.146.224 ip4:89.208.145.139 ip4:83.222.4.74 a mx -all"
3dafa.ir.axfr:@ "v=spf1 a mx ip4:138.201.5.54 ~all"
